#,round_id,roundStartDate,result
845,384337,1700719964597,1.01
846,384338,1700719979999,1.47
847,384339,1700720010071,12.07
848,384340,1700720057149,198.71
849,384341,1700720138560,2.63
850,384342,1700720168997,2.29
851,384343,1700720211761,5.56
852,384344,1700720255034,3.34
853,384345,1700720294844,1.57
854,384346,1700720327319,1.8
855,384347,1700720371594,2.16
856,384348,1700720404458,1
857,384349,1700720431549,1.79
858,384350,1700720461162,2.12
859,384351,1700720489973,1.88
860,384352,1700720516044,1.04
861,384353,1700720552276,1.34
862,384354,1700720576928,1
863,384355,1700720595452,6.02
864,384356,1700720649258,16.19
865,384357,1700720696844,1.49
866,384358,1700720717903,301.01
867,384359,1700720805006,1.5
868,384360,1700720836024,1.05
869,384361,1700720853783,1.04
870,384362,1700720870800,7.9
871,384363,1700720918056,2.03
872,384365,1700720978628,2.37
873,384366,1700721015756,2.47
874,384367,1700721044067,1.66
875,384368,1700721071759,1.11
876,384369,1700721101933,3.2
877,384370,1700721139884,5.95
878,384371,1700721202661,2.47
879,384372,1700721250364,3.55
880,384373,1700721295143,5.2
881,384374,1700721376041,1.78
882,384375,1700721411942,1
883,384376,1700721430618,2.24
884,384377,1700721470794,1.01
885,384378,1700721501496,1.06
886,384379,1700721530763,1.45
887,384380,1700721579752,1.67
888,384381,1700721619669,485.42
889,384382,1700721721829,3.55
890,384383,1700721799640,1.23
891,384384,1700721835820,2.77
892,384385,1700721932050,6.85
893,384386,1700721993236,1.04
894,384387,1700722024911,101.9
895,384388,1700722123428,2.98
896,384389,1700722187359,1
897,384390,1700722222130,10.88
898,384391,1700722293709,6.65
899,384392,1700722357897,1.89
900,384393,1700722425769,10.56
901,384394,1700722513116,1794.77
902,384395,1700722649332,1.06
903,384396,1700722690634,1.37
904,384397,1700722775282,1.85
905,384398,1700722836974,3.45
906,384399,1700722895389,17.86
907,384400,1700723000489,1.37
908,384401,1700723074680,2.37
909,384402,1700723155616,2.09
910,384404,1700723300995,1.75
911,384405,1700723360101,1.13
912,384406,1700723413271,4.37
913,384407,1700723463560,3.81
914,384408,1700723521365,3.71
915,384409,1700723563013,6.08
916,384410,1700723639614,1.19
917,384411,1700723678518,1.04
918,384412,1700723708982,1.3
919,384413,1700723765556,2.7
920,384415,1700723868935,7.62
921,384416,1700723941546,2.62
922,384417,1700723993687,1.4
923,384418,1700724061582,5.22
924,384419,1700724115192,1.23
925,384420,1700724198020,1.12
926,384421,1700724235460,1.26
927,384422,1700724288886,26.34
928,384423,1700724360045,2.84
929,384424,1700724419781,4.52
930,384425,1700724471417,1.16
931,384426,1700724505300,1.74
932,384427,1700724550418,3.73
933,384428,1700724640255,1.37
934,384429,1700724681949,1.46
